issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,64,32,10,2,2,2,16,2,23619208
2,64,32,10,6,2,1,16,3,20600927
2,64,32,20,2,2,1,48,2,21405667
2,64,32,20,4,1,1,16,1,25001407
2,64,32,20,4,1,2,16,3,18599899
2,64,32,20,4,1,2,32,3,16724459
2,64,32,30,2,1,2,48,3,19279386
2,64,32,30,2,1,4,48,1,21168681
2,64,32,30,2,2,1,32,3,19080731
2,64,32,30,2,2,4,32,2,19555942
2,64,32,30,2,2,4,32,3,19280685
2,64,32,30,4,2,1,32,1,21325478
2,64,32,30,6,2,1,48,1,20643768
2,64,32,40,2,1,4,48,2,18934417
2,64,32,40,4,1,4,48,3,16923860
2,64,32,40,4,2,2,16,1,23526229
2,64,32,40,6,2,2,32,3,16274601
2,64,32,50,2,2,1,16,2,19444202
2,64,32,50,2,2,2,48,1,20718748
2,64,32,50,2,2,4,48,2,19443260
2,64,32,50,4,2,2,16,2,18426014
2,64,32,50,4,2,4,32,2,18425877
2,64,32,50,6,1,4,16,3,17274768
2,64,32,50,6,1,4,32,3,17299261
2,64,32,50,6,2,2,48,2,16175682
2,64,32,60,2,1,4,48,3,19142536
2,64,32,60,2,2,4,48,1,20793594
2,64,32,60,4,2,4,32,2,18500616
2,64,96,0,0,0,0,0,0,42612257
2,64,96,10,2,1,1,16,3,25496905
2,64,96,10,2,2,2,48,3,24584159
2,64,96,10,4,2,4,32,3,19400843
2,64,96,20,2,2,4,32,2,21106360
2,64,96,20,4,1,1,32,2,20276192
2,64,96,20,4,2,1,32,1,21638542
2,64,96,20,4,2,4,48,3,16924537
2,64,96,20,6,1,2,48,2,17825894
2,64,96,20,6,1,4,16,2,17826625
2,64,96,30,2,1,4,32,1,21850772
2,64,96,30,2,2,2,16,1,25001664
2,64,96,30,4,2,2,16,3,18743271
2,64,96,30,4,2,4,32,1,21325890
2,64,96,40,2,2,1,32,2,19681691
